offer_id,product_id,price,old_price,min_price,currency_code,auto_action_enabled
"BT3619/15",6085181968,"499","549","489","USD",false
"HX9914/54",6085181975,"647","725","615","USD",false
"BHS732/00",6085181981,"499","549","489","USD",false
"S5887/13",6085182010,"999","1149","989","USD",false
"ASH138/10",6085182014,"499","549","489","USD",false
"PSA3228/41",6085182116,"1160","1249","1129","USD",false
"AWP230P6/31",6085182150,"499","549","489","USD",false
"HX6044/90",6085182168,"96","110","88","USD",false
"HX7400/02",6085182207,"609","700","560","USD",false
"BHB968/10",6085182240,"1160","1249","1129","USD",false
"CX5120/11",6085182243,"699","749","689","USD",false
"BRL129/00",6085182259,"499","549","489","USD",false
"XP9404/38",6086078382,"1160","1249","1129","USD",false
"XP9402/46",6086116937,"1160","1249","1129","USD",false
"COSORI Turbo Tower Pro Smart Airfryer, 10,8L Keram",6115611853,"1160","1249","1129","USD",false
"CAF-R901-AEU",6115611893,"999","1149","989","USD",false
"Cosori Airfryer, neue Generation 2026, Chip Testsi",6115611894,"1160","1249","1129","USD",false
"Cosori Airfryer, Dual Blaze Twinfry, Flexiblen Kam",6115611903,"1160","1249","1129","USD",false
"CAF-DC113S-ADE",6115611904,"1160","1249","1129","USD",false
"CAF-DC601-KEU",6115611938,"1160","1249","1129","USD",false
"Cosori Airfryer, mit Sichtfenster, 12-in-1 6,2L He",6115611939,"699","749","689","USD",false
"CAF-P583S-AEUR",6115611959,"999","1149","989","USD",false
"TurboBlaze 6.0L (CAF-DC601-WEU)",6115611965,"999","1149","989","USD",false
"CP158-AF-RXB",6115611973,"699","749","689","USD",false
"CAF-TF801-CEUR",6115611976,"1160","1249","1129","USD",false
"CNS-R101S",6115612012,"166","191","153","USD",false
"CMC-CO601-SEU",6115612015,"999","1149","989","USD",false
"CEK-S152-VEU",6115612025,"499","549","489","USD",false
"CAF-SE601S-CEU",6115612031,"1160","1249","1129","USD",false
"Dual Blaze TwinFry CAF-TF101S 10L",6115612042,"1160","1249","1129","USD",false
"CP267-FD-RXS",6115612045,"1160","1249","1129","USD",false
"CRC-R501-KEU",6115612053,"699","749","689","USD",false
"CP158-AF-RXW",6115612100,"699","749","689","USD",false
"CAF-L501-GEU",6115612115,"699","749","689","USD",false
